acc_x,acc_y,acc_z
-0.017725,-0.041243,9.810581
-0.032495,-0.070987,9.812908
-0.028974,-0.062780,9.812450
-0.030586,-0.067256,9.812563
-0.029637,-0.064031,9.813531
-0.029961,-0.066487,9.812255
-0.029562,-0.064065,9.813146
-0.029492,-0.065900,9.812892
-0.029703,-0.064302,9.812829
-0.029687,-0.065336,9.812844
-0.029463,-0.064853,9.812169
-0.029410,-0.065106,9.812838
-0.029527,-0.065395,9.811876
-0.029396,-0.064675,9.812998
-0.029511,-0.065076,9.812582
-0.029179,-0.064670,9.813252
-0.029766,-0.064613,9.813119
-0.029268,-0.064177,9.813307
-0.030033,-0.064046,9.813604
-0.028522,-0.063818,9.813450
-0.029686,-0.064276,9.813504
-0.028445,-0.063879,9.813490
-0.029042,-0.063959,9.813932
-0.028638,-0.063989,9.814173
-0.028976,-0.064215,9.813934
-0.029750,-0.063689,9.813949
-0.029236,-0.063608,9.814081
-0.030102,-0.063691,9.813665
-0.029754,-0.063707,9.814122
-0.029821,-0.063666,9.813495
-0.029809,-0.063147,9.813387
-0.030242,-0.063331,9.813264
-0.029771,-0.062970,9.814040
-0.029597,-0.063223,9.813825
-0.029249,-0.062986,9.813146
-0.029468,-0.062429,9.813992
-0.029413,-0.063380,9.813364
-0.029686,-0.063066,9.813161
-0.029307,-0.062601,9.812887
-0.029314,-0.062927,9.813230
-0.028498,-0.062468,9.812705
-0.029278,-0.062713,9.812343
-0.028763,-0.062031,9.812416
-0.028726,-0.062452,9.812338
-0.028981,-0.062346,9.811331
-0.029004,-0.061940,9.811621
-0.028564,-0.062194,9.812107
-0.029130,-0.061976,9.811477
-0.028381,-0.061658,9.810635
-0.029217,-0.061597,9.811106
-0.028652,-0.062005,9.811120
-0.029269,-0.061680,9.811829
-0.028970,-0.061699,9.811957
-0.029192,-0.061937,9.810849
-0.029245,-0.061443,9.811878
-0.029437,-0.061895,9.811806
-0.028677,-0.061062,9.811787
-0.028822,-0.061552,9.811581
-0.028402,-0.060381,9.811425
-0.028324,-0.061674,9.811680
-0.028501,-0.061051,9.811235
-0.028557,-0.061745,9.812011
-0.028582,-0.061357,9.810973
-0.028632,-0.061489,9.811658
-0.028152,-0.061558,9.812631
-0.028742,-0.061464,9.812221
-0.028402,-0.060718,9.813185
-0.028164,-0.061342,9.812756
-0.027662,-0.060960,9.812668
-0.028700,-0.061033,9.813563
-0.027871,-0.060990,9.812851
-0.027786,-0.061100,9.813059
-0.027997,-0.061646,9.812683
-0.027477,-0.061293,9.812745
-0.027980,-0.061300,9.812695
-0.027319,-0.061272,9.812465
-0.027560,-0.060692,9.812458
-0.027241,-0.061450,9.812618
-0.027691,-0.061033,9.812299
-0.027595,-0.061203,9.813142
-0.027739,-0.060638,9.812803
-0.027622,-0.061512,9.813161
-0.027323,-0.060736,9.812173
-0.027872,-0.060431,9.812992
-0.027465,-0.060326,9.812515
-0.027454,-0.060440,9.813005
-0.027476,-0.060644,9.812608
-0.027651,-0.060284,9.813121
-0.027696,-0.060767,9.813202
-0.027789,-0.060152,9.812637
-0.027700,-0.060517,9.812776
-0.027989,-0.059859,9.812429
-0.028413,-0.059341,9.812895
-0.028164,-0.059869,9.812723
-0.028409,-0.059624,9.812879
-0.028243,-0.059601,9.812700
-0.027963,-0.059097,9.812852
-0.027915,-0.059360,9.813592
-0.027976,-0.059023,9.812619
-0.027959,-0.059372,9.813133
-0.027351,-0.058413,9.813149
-0.028342,-0.058613,9.813125
-0.027313,-0.058544,9.813478
-0.028028,-0.058114,9.813128
-0.027266,-0.058928,9.812631
-0.027949,-0.058218,9.813400
-0.027184,-0.058091,9.813039
-0.027932,-0.057744,9.813643
-0.027100,-0.058310,9.813446
-0.027632,-0.058281,9.813442
-0.027993,-0.058119,9.813323
-0.027308,-0.057825,9.813047
-0.027547,-0.058261,9.813245
-0.026693,-0.058232,9.813404
-0.027597,-0.057855,9.813089
-0.027593,-0.058388,9.813310
-0.027515,-0.058007,9.812739
-0.027555,-0.057060,9.812933
-0.027104,-0.057763,9.812519
-0.027882,-0.057691,9.812488
-0.027058,-0.058008,9.812885
-0.027077,-0.057824,9.812928
-0.027059,-0.058034,9.813099
-0.026161,-0.057091,9.812162
-0.026772,-0.057567,9.812749
-0.026400,-0.057710,9.813162
-0.026457,-0.057220,9.813030
-0.026747,-0.057710,9.812462
-0.027017,-0.057340,9.812284
-0.026507,-0.057706,9.813011
-0.026467,-0.057331,9.812525
-0.026521,-0.057706,9.812276
-0.026106,-0.057535,9.812091
-0.026208,-0.057462,9.812702
-0.025049,-0.057197,9.812467
-0.026304,-0.057214,9.812617
-0.025331,-0.057255,9.812913
-0.025840,-0.057103,9.813308
-0.025251,-0.057872,9.811991
-0.026228,-0.056619,9.813334
-0.025072,-0.057657,9.812765
-0.025487,-0.056949,9.813259
-0.025553,-0.057301,9.812871
-0.025091,-0.057408,9.812470
-0.026100,-0.057475,9.813342
-0.024784,-0.057470,9.813194
-0.025270,-0.057218,9.812452
-0.024888,-0.057843,9.812354
-0.025348,-0.056144,9.812673
-0.025021,-0.057898,9.812887
-0.024855,-0.056730,9.812405
-0.026048,-0.057319,9.813178
-0.024781,-0.057497,9.812567
-0.025913,-0.056266,9.812394
-0.024978,-0.057857,9.812309
-0.025577,-0.055744,9.812244
-0.025185,-0.057742,9.812904
-0.025036,-0.056499,9.812338
-0.025903,-0.057328,9.812269
-0.025069,-0.056479,9.811992
-0.025110,-0.056428,9.812051
-0.024920,-0.055977,9.812569
-0.025172,-0.056067,9.812084
-0.025473,-0.055806,9.811929
-0.025156,-0.054984,9.812139
-0.025520,-0.055882,9.811676
-0.025450,-0.055356,9.811727
-0.025869,-0.054984,9.811990
-0.025502,-0.054782,9.812065
-0.025931,-0.054495,9.812116
-0.026099,-0.054828,9.810870
-0.025732,-0.053914,9.811840
-0.025498,-0.054288,9.812088
-0.025392,-0.053458,9.812633
-0.025755,-0.054911,9.812218
-0.025587,-0.053733,9.812494
-0.025480,-0.054354,9.813251
-0.025973,-0.053725,9.813038
-0.025952,-0.053810,9.812429
-0.025669,-0.053544,9.813069
-0.025632,-0.053016,9.812891
-0.026589,-0.052944,9.813167
-0.025677,-0.053045,9.813316
-0.025890,-0.052477,9.812950
-0.025440,-0.053284,9.813351
-0.025110,-0.052639,9.813306
-0.025518,-0.052916,9.812941
-0.024882,-0.052416,9.813758
-0.025383,-0.052739,9.813214
-0.024860,-0.052629,9.813465
-0.024742,-0.053131,9.814241
-0.025058,-0.052852,9.813273
-0.025257,-0.052640,9.813417
-0.024403,-0.053269,9.813246
-0.024964,-0.052856,9.813222
-0.024651,-0.053420,9.813188
-0.024203,-0.052883,9.813134
-0.024601,-0.053683,9.813470
-0.024325,-0.053428,9.813229
-0.024134,-0.053481,9.813523
-0.023799,-0.053583,9.813083
-0.023602,-0.053770,9.813052
-0.024057,-0.053327,9.812802
-0.023639,-0.053325,9.812805
-0.023271,-0.054400,9.812788
-0.023320,-0.054258,9.812011
-0.023244,-0.053775,9.812043
-0.023144,-0.053745,9.812056
-0.022891,-0.053671,9.812374
-0.023807,-0.053800,9.812522
-0.023197,-0.053537,9.812166
-0.023680,-0.054016,9.812588
-0.023522,-0.054018,9.812360
-0.023070,-0.054011,9.811442
-0.023355,-0.053754,9.811918
-0.022769,-0.054194,9.812446
-0.022925,-0.053421,9.811601
-0.022699,-0.052930,9.812634
-0.023285,-0.053596,9.812244
-0.023011,-0.053422,9.812977
-0.023609,-0.053334,9.812165
-0.023876,-0.052979,9.812399
-0.022945,-0.052738,9.812718
-0.023654,-0.053085,9.812641
-0.023520,-0.053402,9.812354
-0.023119,-0.052237,9.812402
-0.023979,-0.052341,9.812726
-0.023387,-0.052308,9.812878
-0.023419,-0.052112,9.812729
-0.023446,-0.051141,9.813223
-0.024359,-0.051083,9.813034
-0.024270,-0.051068,9.813737
-0.024232,-0.050840,9.813983
-0.024138,-0.050570,9.813997
-0.024971,-0.050034,9.814040
-0.024441,-0.049716,9.814243
-0.024339,-0.050013,9.813778
-0.024038,-0.049760,9.813710
-0.024097,-0.049490,9.813862
-0.024361,-0.049237,9.814057
-0.023172,-0.049275,9.814182
-0.024316,-0.049304,9.813835
