acc_x,acc_y,acc_z
-0.021803,0.038901,9.819836
-0.022698,0.036709,9.819736
-0.020504,0.038525,9.820015
-0.022995,0.039579,9.820412
-0.022398,0.038498,9.819187
-0.022069,0.038995,9.820195
-0.023279,0.038785,9.819402
-0.022528,0.038402,9.820059
-0.022807,0.038785,9.820243
-0.021958,0.038110,9.818427
-0.023130,0.038425,9.820277
-0.020817,0.040259,9.820112
-0.022442,0.038008,9.819931
-0.024046,0.038690,9.820356
-0.020736,0.037388,9.821197
-0.020259,0.038732,9.820683
-0.024199,0.038405,9.818912
-0.021966,0.038118,9.820008
-0.021724,0.036573,9.819648
-0.022195,0.037304,9.820066
-0.022126,0.037825,9.821345
-0.021681,0.037613,9.820937
-0.023992,0.037858,9.819558
-0.021709,0.036340,9.819379
-0.023028,0.039496,9.819961
-0.022757,0.037732,9.821619
-0.022290,0.035657,9.820060
-0.021620,0.037845,9.820015
-0.022277,0.037415,9.822055
-0.023115,0.036654,9.819923
-0.020990,0.036607,9.820270
-0.021960,0.036224,9.821137
-0.021479,0.037832,9.820729
-0.023492,0.036001,9.819812
-0.022117,0.035574,9.821501
-0.021217,0.036259,9.820326
-0.020763,0.035957,9.820061
-0.022086,0.037478,9.821683
-0.021801,0.036630,9.819098
-0.021038,0.036487,9.820628
-0.021260,0.035576,9.820544
-0.021394,0.036809,9.820793
-0.021571,0.037316,9.821270
-0.022152,0.035406,9.821159
-0.022968,0.036732,9.819647
-0.020444,0.035392,9.820229
-0.021949,0.036135,9.820908
-0.021532,0.036725,9.819128
-0.021627,0.035587,9.819655
-0.021448,0.036300,9.820170
-0.021582,0.036141,9.820654
-0.022231,0.034387,9.819380
-0.020856,0.036650,9.819803
-0.021560,0.035791,9.820547
-0.021829,0.035801,9.818481
-0.021140,0.034708,9.820399
-0.021756,0.035907,9.820300
-0.020696,0.035507,9.819439
-0.022242,0.035325,9.820615
-0.020490,0.034991,9.821344
-0.021708,0.036800,9.820596
-0.020346,0.035385,9.819817
-0.020802,0.035072,9.820274
-0.022456,0.035318,9.819909
-0.021604,0.034895,9.821655
-0.020331,0.036148,9.819694
-0.021561,0.036074,9.819358
-0.022226,0.034074,9.820031
-0.021173,0.035467,9.819238
-0.021720,0.035812,9.820300
-0.020690,0.033448,9.819731
-0.021648,0.036534,9.819994
-0.019953,0.033846,9.821053
-0.021170,0.035042,9.819038
-0.022923,0.036325,9.819618
-0.020108,0.033112,9.821831
-0.020266,0.033910,9.820902
